id,analysis_id,"stratum_1","stratum_2","stratum_3","stratum_4","stratum_5",count_value,source_count_value
1200000,3106,"44829936","8","Condition","","",3,3
1200001,3106,"45563952","8","Condition","","",3,3
1200002,3106,"44821466","8","Condition","","",3,3
1200003,3106,"44836230","8","Condition","","",3,3
1200004,3106,"44825691","8","Condition","","",3,3
1200005,3106,"44823178","8","Condition","","",3,3
1200006,3106,"432872","8","Condition","","",3,30
1200007,3106,"4277444","8","Condition","","",3,5
1200008,3106,"439191","8","Condition","","",3,0
1200009,3106,"78833","8","Condition","","",3,1
1200010,3106,"4182198","8","Condition","","",3,4
1200011,3106,"436882","8","Condition","","",3,0
1200012,3106,"45757695","8","Condition","","",3,0
1200013,3106,"439763","8","Condition","","",3,0
1200014,3106,"436806","8","Condition","","",3,25
1200015,3106,"35206201","8","Condition","","",3,3
1200016,3106,"44830632","8","Condition","","",3,3
1200017,3106,"44826728","8","Condition","","",3,3
1200018,3106,"35211287","8","Condition","","",3,3
1200019,3106,"45546719","8","Condition","","",3,3
1200020,3106,"35207188","8","Condition","","",3,3
1200021,3106,"44822237","8","Condition","","",3,3
1200022,3106,"35207125","8","Condition","","",3,3
1200023,3106,"44826713","8","Condition","","",3,3
1200024,3106,"44826905","8","Condition","","",3,3
1200025,3106,"44830575","8","Condition","","",3,3
1200026,3106,"44824226","8","Condition","","",3,3
1200027,3106,"44835053","8","Condition","","",3,3
1200028,3106,"45591831","8","Condition","","",3,3
1200029,3106,"44829523","8","Condition","","",3,3
1200030,3106,"44828768","8","Condition","","",3,3
1200031,3106,"4301418","8","Condition","","",3,195
1200032,3106,"4309106","8","Condition","","",3,112
1200033,3106,"4205568","8","Condition","","",3,20
1200034,3106,"444071","8","Condition","","",3,0
1200035,3106,"40478938","8","Condition","","",3,0
1200036,3106,"375268","8","Condition","","",3,0
1200037,3106,"4147218","8","Condition","","",3,76
1200038,3106,"439789","8","Condition","","",3,1
1200039,3106,"4297984","8","Condition","","",3,80
1200040,3106,"438456","8","Condition","","",3,0
1200041,3106,"381861","8","Condition","","",3,0
1200042,3106,"46273162","8","Condition","","",3,0
1200043,3106,"432893","8","Condition","","",3,0
