"id","concept_id","value_as_concept_id","concept_name","type","est_count"
1,3000067,0,"MIN","NUM",0
2,3000067,0,"MAX","NUM",65397
3,3000078,0,"MIN","NUM",0
4,3000078,0,"MAX","NUM",7148275
5,3000089,0,"MAX","NUM",256
6,3000089,0,"MIN","NUM",0
7,3000120,0,"MAX","NUM",27.7
8,3000120,0,"MIN","NUM",0.7
9,3000127,0,"MAX","NUM",0.5
10,3000127,0,"MIN","NUM",0.5
11,3000138,0,"MAX","NUM",68.6
12,3000138,0,"MIN","NUM",0.9
13,3000150,0,"MIN","NUM",0.12
14,3000150,0,"MAX","NUM",16
15,3000167,0,"MIN","NUM",1
16,3000167,0,"MAX","NUM",514
17,3000194,0,"MIN","NUM",0
18,3000194,0,"MAX","NUM",38
19,3000285,0,"MAX","NUM",200
20,3000285,0,"MIN","NUM",4
21,3000330,0,"MAX","NUM",1023
22,3000330,0,"MIN","NUM",-6
23,3000385,0,"MIN","NUM",0
24,3000385,0,"MAX","NUM",80.09
25,3000415,0,"MAX","NUM",20.4
26,3000415,0,"MIN","NUM",2.7
27,3000472,0,"MIN","NUM",1
28,3000472,0,"MAX","NUM",4
29,3000483,0,"MAX","NUM",3706
30,3000483,0,"MIN","NUM",-3
31,3000515,0,"MAX","NUM",198
32,3000515,0,"MIN","NUM",13
33,3000566,0,"MAX","NUM",233.4
34,3000566,0,"MIN","NUM",3
35,3000570,0,"MIN","NUM",6
36,3000570,0,"MAX","NUM",500
37,3000593,0,"MIN","NUM",25
38,3000593,0,"MAX","NUM",42857
39,3000598,0,"MAX","NUM",98
40,3000598,0,"MIN","NUM",0
41,3000620,0,"MAX","NUM",611
42,3000620,0,"MIN","NUM",14
43,3000637,0,"MAX","NUM",3573
44,3000637,0,"MIN","NUM",7
45,3000666,0,"MAX","NUM",138
46,3000666,0,"MIN","NUM",0
47,3000722,0,"MAX","NUM",1030
48,3000722,0,"MIN","NUM",1
49,3000748,0,"MIN","NUM",13.1
50,3000748,0,"MAX","NUM",69.6
51,3000769,0,"MIN","NUM",8
52,3000769,0,"MAX","NUM",8
53,3000787,0,"MAX","NUM",136.2
54,3000787,0,"MIN","NUM",0
55,3000822,0,"MIN","NUM",2.7
56,3000822,0,"MAX","NUM",18
57,3000876,0,"MAX","NUM",46.9
58,3000876,0,"MIN","NUM",0.14
59,3000899,0,"MIN","NUM",0
60,3000899,0,"MAX","NUM",37.37
61,3000905,0,"MIN","NUM",-6
