"id","parent_id","type","subtype","code","name","is_group","is_selectable","est_count","domain_id","concept_id","has_attribute","path"
23828,0,"ICD10","ICD10CM","ICD10CM","DIAGNOSIS CODES",1,0,"","","",0,""
23829,23828,"ICD10","ICD10CM","A00-B99","Certain infectious and parasitic diseases (A00-B99)",1,0,"","","",0,""
23830,23828,"ICD10","ICD10CM","C00-D49","Neoplasms (C00-D49)",1,0,"","","",0,""
23831,23828,"ICD10","ICD10CM","D50-D89","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D50-D89)",1,0,"","","",0,""
23832,23828,"ICD10","ICD10CM","E00-E89","Endocrine, nutritional and metabolic diseases (E00-E89)",1,0,"","","",0,""
23833,23828,"ICD10","ICD10CM","F01-F99","Mental, Behavioral and Neurodevelopmental disorders (F01-F99)",1,0,"","","",0,""
23834,23828,"ICD10","ICD10CM","G00-G99","Diseases of the nervous system (G00-G99)",1,0,"","","",0,""
23835,23828,"ICD10","ICD10CM","H00-H59","Diseases of the eye and adnexa (H00-H59)",1,0,"","","",0,""
23836,23828,"ICD10","ICD10CM","H60-H95","Diseases of the ear and mastoid process (H60-H95)",1,0,"","","",0,""
23837,23828,"ICD10","ICD10CM","I00-I99","Diseases of the circulatory system (I00-I99)",1,0,"","","",0,""
23838,23828,"ICD10","ICD10CM","J00-J99","Diseases of the respiratory system (J00-J99)",1,0,"","","",0,""
23839,23828,"ICD10","ICD10CM","K00-K95","Diseases of the digestive system (K00-K95)",1,0,"","","",0,""
23840,23828,"ICD10","ICD10CM","L00-L99","Diseases of the skin and subcutaneous tissue (L00-L99)",1,0,"","","",0,""
23841,23828,"ICD10","ICD10CM","M00-M99","Diseases of the musculoskeletal system and connective tissue (M00-M99)",1,0,"","","",0,""
23842,23828,"ICD10","ICD10CM","N00-N99","Diseases of the genitourinary system (N00-N99)",1,0,"","","",0,""
23843,23828,"ICD10","ICD10CM","O00-O9A","Pregnancy, childbirth and the puerperium (O00-O9A)",1,0,"","","",0,""
23844,23828,"ICD10","ICD10CM","P00-P96","Certain conditions originating in the perinatal period (P00-P96)",1,0,"","","",0,""
23845,23828,"ICD10","ICD10CM","Q00-Q99","Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)",1,0,"","","",0,""
23846,23828,"ICD10","ICD10CM","R00-R99","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",1,0,"","","",0,""
23847,23828,"ICD10","ICD10CM","S00-T88","Injury, poisoning and certain other consequences of external causes (S00-T88)",1,0,"","","",0,""
23848,23828,"ICD10","ICD10CM","V00-Y99","External causes of morbidity (V00-Y99)",1,0,"","","",0,""
23849,23828,"ICD10","ICD10CM","Z00-Z99","Factors influencing health status and contact with health services (Z00-Z99)",1,0,"","","",0,""
23850,23829,"ICD10","ICD10CM","A00","Cholera",1,1,0,"","",0,""
23851,23850,"ICD10","ICD10CM","A00.0","Cholera due to Vibrio cholerae 01, biovar cholerae",0,1,0,"Condition",35205396,0,""
