"id","parent_id","type","subtype","code","name","is_group","is_selectable","est_count","domain_id","concept_id","has_attribute","predefined_attributes"
333926,0,"MEAS","LAB","LP31625-4","Allergy",1,0,83308,"",40772948,0,""
333927,0,"MEAS","LAB","LP7755-4","Antibiotic Susceptibilities",1,0,48353,"",40798316,0,""
333928,0,"MEAS","LAB","LP32651-9","Blood Bank",1,0,5598228,"",40782957,0,""
333929,0,"MEAS","LAB","LP32737-6","Cell markers - Flow Cytometry",1,0,6713907,"",40786257,0,""
333930,0,"MEAS","LAB","LP31388-9","Chemistry",1,0,12538548,"",40772935,0,""
333931,0,"MEAS","LAB","LP40271-6","Chemistry, challenge",1,0,9306618,"",40783186,0,""
333932,0,"MEAS","LAB","LP19284-6","Coagulation",1,0,632230,"",40772812,0,""
333933,0,"MEAS","LAB","LP32760-8","Cytology",1,0,798,"",40792802,0,""
333934,0,"MEAS","LAB","LP40474-6","Drug doses",1,0,1244261,"",40773177,0,""
333935,0,"MEAS","LAB","LP31389-7","Drug/Tox",1,0,124783,"",40796096,0,""
333936,0,"MEAS","LAB","LP32738-4","Fertility testing",1,0,17461829,"",40776263,0,""
333937,0,"MEAS","LAB","LP31756-7","Hematology",1,0,21221921,"",40792793,0,""
333941,0,"MEAS","LAB","LP248770-2","Lab terms not yet categorized",1,0,111975,"",36208195,0,""
333943,0,"MEAS","LAB","LP31755-9","Microbiology",1,0,55333,"",40792792,0,""
333944,0,"MEAS","LAB","LP32740-0","Molecular Pathology",1,0,76,"",40772960,0,""
333945,0,"MEAS","LAB","LP32741-8","Pathology",1,0,133932,"",40786258,0,""
333946,0,"MEAS","LAB","LP32742-6","Serology",1,0,654874,"",40776264,0,""
333948,0,"MEAS","LAB","LP32743-4","Specimen attributes",1,0,106183,"",40779609,0,""
333949,0,"MEAS","LAB","LP32744-2","Urinalysis",1,0,13098344,"",40796128,0,""
333950,333926,"MEAS","LAB","LP31627-0","Animal",1,0,1610,"",40779591,0,""
333951,333926,"MEAS","LAB","LP30682-6","Drug allergens",1,0,17371,"",40776224,0,""
333952,333926,"MEAS","LAB","LP16999-2","House dust",1,0,280,"",40789320,0,""
333953,333926,"MEAS","LAB","LP30681-8","Miscellaneous allergens",1,0,2586,"",40792769,0,""
333954,333926,"MEAS","LAB","LP30672-7","Molds and Other Microorganisms",1,0,3781,"",40772922,0,""
333955,333926,"MEAS","LAB","LP30689-1","Occupational allergens",1,0,53151,"",40779557,0,""
333957,333926,"MEAS","LAB","LP31628-8","Plant",1,0,4529,"",40782937,0,""
333960,333927,"MEAS","LAB","LP31426-7","Antibiotics",1,0,32704,"",40792781,0,""
333961,333927,"MEAS","LAB","LP31435-8","Antifungals",1,0,1062,"",40786229,0,""
333971,333927,"MEAS","LAB","LP64213-9","Genetic Antimicrobial Resistance",1,0,14587,"",40784775,0,""
333982,333928,"MEAS","LAB","LP32805-1","Blood products",1,0,5598228,"",40776269,0,""
333993,333929,"MEAS","LAB","LP32944-8","Clusters of differentiation",1,0,25,"",40796135,0,""
333998,333929,"MEAS","LAB","LP32772-3","Multiple markers",1,0,13814,"",40779610,0,""
333999,333929,"MEAS","LAB","LP32943-0","Other markers",1,0,6700068,"",40796134,0,""
334001,333930,"MEAS","LAB","LP18033-8","Amino acids",1,0,20656,"",40772766,0,""
334002,333930,"MEAS","LAB","LP31409-3","Cardiovascular (excluding enzymes)",1,0,87964,"",40792780,0,""
334003,333930,"MEAS","LAB","LP31771-6","Crystals and calculi",1,0,3,"",40782948,0,""
334004,333930,"MEAS","LAB","LP31391-3","Cytokines",1,0,34,"",40789533,0,""
334005,333930,"MEAS","LAB","LP19403-2","Electrolytes - single valence",1,0,2226350,"",40792670,0,""
334006,333930,"MEAS","LAB","LP31396-2","Endocrine",1,0,780749,"",40789534,0,""
334007,333930,"MEAS","LAB","LP31392-1","Enzymes (see also Inborn errors metabolism lysosomal)",1,0,1501022,"",40786225,0,""
334009,333930,"MEAS","LAB","LP31400-2","Gases and acid/Base",1,0,1223835,"",40796098,0,""
334010,333930,"MEAS","LAB","LP31419-2","Gastrointestinal function",1,0,168,"",40796099,0,""
334012,333930,"MEAS","LAB","LP31406-9","Inborn errors metabolism lysosomal",1,0,144,"",40792779,0,""
334013,333930,"MEAS","LAB","LP15157-8","Iodine",1,0,35,"",40775854,0,""
334014,333930,"MEAS","LAB","LP15677-5","Iron",1,0,167200,"",40775896,0,""
334015,333930,"MEAS","LAB","LP15705-4","Lipids",1,0,801837,"",40789215,0,""
334016,333930,"MEAS","LAB","LP15711-2","Lipoproteins",1,0,2754,"",40795813,0,""
334017,333930,"MEAS","LAB","LP31397-0","Liver function (excluding enzymes)",1,0,728240,"",40776230,0,""
334019,333930,"MEAS","LAB","LP31413-5","Mineral, bone, joint, connective tissue",1,0,743743,"",40786227,0,""
334020,333930,"MEAS","LAB","LP31403-6","Neural, Muscular",1,0,400,"",40792778,0,""
334023,333930,"MEAS","LAB","LP31405-1","Nucelotides/sides and derivatives",1,0,43081,"",40786226,0,""
334024,333930,"MEAS","LAB","LP36815-6","Peptides",1,0,36,"",40783042,0,""
334025,333930,"MEAS","LAB","LP14913-5","Porphyrins",1,0,1125,"",40795756,0,""
334027,333930,"MEAS","LAB","LP15838-3","Protein",1,0,1322049,"",40779250,0,""
334028,333930,"MEAS","LAB","LP31398-8","Renal function",1,0,1489735,"",40776231,0,""
334030,333930,"MEAS","LAB","LP31415-0","Small molecules",1,0,37478,"",40776232,0,""
334031,333930,"MEAS","LAB","LP31410-1","Specimen Physical properties, artifacts",1,0,20789,"",40779571,0,""
334032,333930,"MEAS","LAB","LP31399-6","Sugars/Sugar metabolism",1,0,929134,"",40779570,0,""
334033,333930,"MEAS","LAB","LP31412-7","Tumor markers",1,0,77155,"",40789536,0,""
334034,333930,"MEAS","LAB","LP31395-4","Vitamins",1,0,332832,"",40792777,0,""
334036,333931,"MEAS","LAB","LP14355-9","Creatinine",1,0,716741,"",40775801,0,""
