"id","parent_id","type","subtype","code","name","is_group","is_selectable","est_count","domain_id","concept_id","has_attribute","path","synonyms"
342761,0,"MEAS","LOINC","","LOINC",1,0,-1,"","",0,"","LOINC"
342762,342761,"MEAS","CLIN","","Clinical",1,0,-1,"","",0,342761,"Clinical"
342763,342761,"MEAS","LAB","","Laboratory",1,0,-1,"","",0,342761,"Laboratory"
342764,342762,"MEAS","CLIN","","Body Height",1,0,-1,"","",0,342761.342762,"Body Height"
342765,342762,"MEAS","CLIN","","Body Temperature",1,0,-1,"","",0,342761.342762,"Body Temperature"
342766,342762,"MEAS","CLIN","","Body Weight",1,0,-1,"","",0,342761.342762,"Body Weight"
342767,342762,"MEAS","CLIN","","Electrocardiogram",1,0,-1,"","",0,342761.342762,"Electrocardiogram"
342768,342762,"MEAS","CLIN","","Heart Rate",1,0,-1,"","",0,342761.342762,"Heart Rate"
342769,342762,"MEAS","CLIN","","Hemodynamics",1,0,-1,"","",0,342761.342762,"Hemodynamics"
342770,342762,"MEAS","CLIN","","Obstetric/Gynocology",1,0,-1,"","",0,342761.342762,"Obstetric/Gynocology"
342771,342762,"MEAS","CLIN","","Respiratory",1,0,-1,"","",0,342761.342762,"Respiratory"
342772,342764,"MEAS","CLIN","8302-2","Body height",0,1,657884,"",3036277,1,"342761.342762.342764","Body height|8302-2|Axial length; bod; Bodies; BODY HEIGHT(LENGTH).ATOM; Body length; Length; Point in time; QNT; Quan; Quant; Quantitative; Random|Body height|Axial length; bod; Bodies; BODY HEIGHT(LENGTH).ATOM; Body length; Length; Point in time; QNT; Quan; Quant; Quantitative; Random|Body height|[rank1]"
342773,342765,"MEAS","CLIN","8310-5","Body temperature",0,1,646279,"",3020891,1,"342761.342762.342765","Body temperature|8310-5|Bdy temp; bod; Bodies; BODY TEMPERATURE.ATOM; Point in time; QNT; Quan; Quant; Quantitative; Random; Temp; Temperature|Body temperature|Bdy temp; bod; Bodies; BODY TEMPERATURE.ATOM; Point in time; QNT; Quan; Quant; Quantitative; Random; Temp; Temperature|Body temperature|[rank1]"
342774,342766,"MEAS","CLIN","41909-3","Deprecated Body mass index (BMI)",0,1,662657,"",3031543,1,"342761.342762.342766","Deprecated Body mass index (BMI)|41909-3|Deprecated Body mass index (BMI)|BMI; bod; Bodies; BODY WEIGHT.ATOM; Calc; Calculation; Point in time; QNT; Quan; Quant; Quantitative; Quetelet index; Random; Ratios; Rto|Deprecated BMI|Deprecated Body mass index (BMI)|BMI; bod; Bodies; BODY WEIGHT.ATOM; Calc; Calculation; Point in time; QNT; Quan; Quant; Quantitative; Quetelet index; Random; Ratios; Rto|Deprecated BMI|[rank1]"
342775,342766,"MEAS","CLIN","29463-7","Body weight",0,1,815991,"",3025315,1,"342761.342762.342766","Body weight|29463-7|Body weight|Bdy weight; bod; Bodies; BODY WEIGHT.ATOM; Point in time; QNT; Quan; Quant; Quantitative; Random; Wt|Weight|Body weight|Bdy weight; bod; Bodies; BODY WEIGHT.ATOM; Point in time; QNT; Quan; Quant; Quantitative; Random; Wt|Weight|[rank1]"
342776,342767,"MEAS","CLIN","8626-4","P wave axis",0,1,258411,"",3006698,1,"342761.342762.342767","P wave axis|8626-4|P wave axis|Cardiac; ECG; EKG.MEASUREMENTS; Electrocardiogram; Electrocardiograph; Hrt; P prime; Point in time; QNT; Quan; Quant; Quantitative; Random|P wave axis|Cardiac; ECG; EKG.MEASUREMENTS; Electrocardiogram; Electrocardiograph; Hrt; P prime; Point in time; QNT; Quan; Quant; Quantitative; Random|[rank1]"
342777,342767,"MEAS","CLIN","8634-8","Q-T interval",0,1,258411,"",3025809,1,"342761.342762.342767","Q-T interval|8634-8|Cardiac; ECG; EKG.MEASUREMENTS; Electrocardiogram; Electrocardiograph; Hrt; Point in time; QNT; Q-T interval; Quan; Quant; Quantitative; Random|Q-T interval|Cardiac; ECG; EKG.MEASUREMENTS; Electrocardiogram; Electrocardiograph; Hrt; Point in time; QNT; Q-T interval; Quan; Quant; Quantitative; Random|Q-T interval|[rank1]"
342778,342767,"MEAS","CLIN","8632-2","QRS axis",0,1,258411,"",3006277,1,"342761.342762.342767","QRS axis|8632-2|Cardiac; ECG; EKG.MEASUREMENTS; Electrocardiogram; Electrocardiograph; Hrt; Point in time; QNT; Quan; Quant; Quantitative; Random|QRS axis|Cardiac; ECG; EKG.MEASUREMENTS; Electrocardiogram; Electrocardiograph; Hrt; Point in time; QNT; Quan; Quant; Quantitative; Random|QRS axis|[rank1]"
342779,342767,"MEAS","CLIN","8638-9","T wave axis",0,1,258411,"",3027358,1,"342761.342762.342767","T wave axis|8638-9|Cardiac; ECG; EKG.MEASUREMENTS; Electrocardiogram; Electrocardiograph; Hrt; Point in time; QNT; Quan; Quant; Quantitative; Random; T prime|T wave axis|Cardiac; ECG; EKG.MEASUREMENTS; Electrocardiogram; Electrocardiograph; Hrt; Point in time; QNT; Quan; Quant; Quantitative; Random; T prime|T wave axis|[rank1]"
342780,342767,"MEAS","CLIN","18510-8","ST segment axis.horizontal plane",0,1,258411,"",3007722,1,"342761.342762.342767","ST segment axis.horizontal plane|18510-8|ST segment axis.horizontal plane|ST Seg axis HP|Cardiac; ECG; EKG.MEASUREMENTS; Electrocardiogram; Electrocardiograph; Hrt; Point in time; QNT; Quan; Quant; Quantitative; Random; ST Seg axis HP|ST segment axis.horizontal plane|ST Seg axis HP|Cardiac; ECG; EKG.MEASUREMENTS; Electrocardiogram; Electrocardiograph; Hrt; Point in time; QNT; Quan; Quant; Quantitative; Random; ST Seg axis HP|[rank1]"
342781,342767,"MEAS","CLIN","18504-1","PP interval mean",0,1,258411,"",3007470,1,"342761.342762.342767","PP interval mean|18504-1|PP interval mean|PP Interv Mean|Average; Avg; Cardiac; ECG; EKG.MEASUREMENTS; Electrocardiogram; Electrocardiograph; Hrt; P-P interval; QNT; Quan; Quant; Quantitative; Studies; Study; Sutdies|PP interval mean|PP Interv Mean|Average; Avg; Cardiac; ECG; EKG.MEASUREMENTS; Electrocardiogram; Electrocardiograph; Hrt; P-P interval; QNT; Quan; Quant; Quantitative; Studies; Study; Sutdies|[rank1]"
342782,342767,"MEAS","CLIN","8636-3","Q-T interval corrected",0,1,258411,"",3026258,1,"342761.342762.342767","Q-T interval corrected|8636-3|Q-T interval corrected|Cardiac; EKG; EKG.MEASUREMENTS; Electrocardiogram; Hrt; Point in time; QNT; Q-T interval corrected; Quan; Quant; Quantitative; Random|Q-T interval corrected|Cardiac; EKG; EKG.MEASUREMENTS; Electrocardiogram; Hrt; Point in time; QNT; Q-T interval corrected; Quan; Quant; Quantitative; Random|[rank1]"
342783,342767,"MEAS","CLIN","8633-0","QRS duration",0,1,258411,"",3022022,1,"342761.342762.342767","QRS duration|8633-0|QRS dur|Cardiac; Durat; ECG; EKG.MEASUREMENTS; Electrocardiogram; Electrocardiograph; Hrt; Point in time; QNT; Quan; Quant; Quantitative; Random|QRS duration|QRS dur|Cardiac; Durat; ECG; EKG.MEASUREMENTS; Electrocardiogram; Electrocardiograph; Hrt; Point in time; QNT; Quan; Quant; Quantitative; Random|QRS duration|[rank1]"
