"id","parent_id","type","subtype","code","name","is_group","is_selectable","est_count","domain_id","concept_id","has_attribute","path","synonyms"
3273132,0,"DRUG","ATC","A","Alimentary tract and metabolism",1,0,"","",21600001,0,"",""
3273133,0,"DRUG","ATC","B","Blood and blood forming organs",1,0,"","",21600959,0,"",""
3273134,0,"DRUG","ATC","C","Cardiovascular system",1,0,"","",21601237,0,"",""
3273135,0,"DRUG","ATC","D","Dermatologicals",1,0,"","",21601907,0,"",""
3273136,0,"DRUG","ATC","G","Genito urinary system and sex hormones",1,0,"","",21602359,0,"",""
3273137,0,"DRUG","ATC","H","Systemic hormonal preparations, excl. sex hormones and insulins",1,0,"","",21602681,0,"",""
3273138,0,"DRUG","ATC","J","Antiinfectives for systemic use",1,0,"","",21602795,0,"",""
3273139,0,"DRUG","ATC","L","Antineoplastic and immunomodulating agents",1,0,"","",21601386,0,"",""
3273140,0,"DRUG","ATC","M","Musculo-skeletal system",1,0,"","",21603931,0,"",""
3273141,0,"DRUG","ATC","N","Nervous system",1,0,"","",21604180,0,"",""
3273142,0,"DRUG","ATC","P","Antiparasitic products, insecticides and repellents",1,0,"","",21604847,0,"",""
3273143,0,"DRUG","ATC","R","Respiratory system",1,0,"","",21605007,0,"",""
3273144,0,"DRUG","ATC","S","Sensory organs",1,0,"","",21603550,0,"",""
3273145,0,"DRUG","ATC","V","Various",1,0,"","",21605212,0,"",""
3273146,0,"DRUG","ATC","","Unmapped Ingredients",1,0,"","","",0,"",""
3273147,3273132,"DRUG","ATC","A01","Stomatological preparations",1,1,781328,"",21600002,0,3273132,""
3273148,3273132,"DRUG","ATC","A02","Drugs for acid related disorders",1,1,795254,"",21600046,0,3273132,""
3273149,3273132,"DRUG","ATC","A03","Drugs for functional gastrointestinal disorders",1,1,231216,"",21600127,0,3273132,""
3273150,3273132,"DRUG","ATC","A04","Antiemetics and antinauseants",1,1,329061,"",21600490,0,3273132,""
3273151,3273132,"DRUG","ATC","A05","Bile and liver therapy",1,1,52,"",21600509,0,3273132,""
3273152,3273132,"DRUG","ATC","A06","Drugs for constipation",1,1,515735,"",21600531,0,3273132,""
3273153,3273132,"DRUG","ATC","A07","Antidiarrheals, intestinal antiinflammatory/antiinfective agents",1,1,450944,"",21600600,0,3273132,""
3273154,3273132,"DRUG","ATC","A08","Antiobesity preparations, excl. diet products",1,1,8769,"",21600679,0,3273132,""
3273155,3273132,"DRUG","ATC","A09","Digestives, incl. enzymes",1,1,17071,"",21600697,0,3273132,""
3273156,3273132,"DRUG","ATC","A10","Drugs used in diabetes",1,1,638069,"",21600712,0,3273132,""
3273157,3273132,"DRUG","ATC","A11","Vitamins",1,1,341539,"",21600800,0,3273132,""
3273158,3273132,"DRUG","ATC","A12","Mineral supplements",1,1,808768,"",21600857,0,3273132,""
3273160,3273132,"DRUG","ATC","A14","Anabolic agents for systemic use",1,1,3571,"",21600914,0,3273132,""
3273162,3273132,"DRUG","ATC","A16","Other alimentary tract and metabolism products",1,1,6098,"",21600932,0,3273132,""
3273163,3273133,"DRUG","ATC","B01","Antithrombotic agents",1,1,576384,"",21600960,0,3273133,""
3273164,3273133,"DRUG","ATC","B02","Antihemorrhagics",1,1,205195,"",21601032,0,3273133,""
3273165,3273133,"DRUG","ATC","B03","Antianemic preparations",1,1,204692,"",21601077,0,3273133,""
3273166,3273133,"DRUG","ATC","B05","Blood substitutes and perfusion solutions",1,1,1134163,"",21601136,0,3273133,""
3273167,3273133,"DRUG","ATC","B06","Other hematological agents",1,1,656,"",21601225,0,3273133,""
3273168,3273134,"DRUG","ATC","C01","Cardiac therapy",1,1,919642,"",21601238,0,3273134,""
3273169,3273134,"DRUG","ATC","C02","Antihypertensives",1,1,96253,"",21600381,0,3273134,""
3273170,3273134,"DRUG","ATC","C03","Diuretics",1,1,305530,"",21601461,0,3273134,""
3273171,3273134,"DRUG","ATC","C04","Peripheral vasodilators",1,1,17756,"",21601560,0,3273134,""
3273172,3273134,"DRUG","ATC","C05","Vasoprotectives",1,1,863621,"",21601605,0,3273134,""
3273173,3273134,"DRUG","ATC","C07","Beta blocking agents",1,1,273925,"",21601664,0,3273134,""
3273174,3273134,"DRUG","ATC","C08","Calcium channel blockers",1,1,152611,"",21601744,0,3273134,""
3273175,3273134,"DRUG","ATC","C09","Agents acting on the renin-angiotensin system",1,1,241942,"",21601782,0,3273134,""
3273176,3273134,"DRUG","ATC","C10","Lipid modifying agents",1,1,321383,"",21601853,0,3273134,""
3273177,3273135,"DRUG","ATC","D01","Antifungals for dermatological use",1,1,192713,"",21601908,0,3273135,""
3273178,3273135,"DRUG","ATC","D02","Emollients and protectives",1,1,17529,"",21601968,0,3273135,""
3273179,3273135,"DRUG","ATC","D03","Preparations for treatment of wounds and ulcers",1,1,5833,"",21601985,0,3273135,""
3273180,3273135,"DRUG","ATC","D04","Antipruritics, incl. antihistamines, anesthetics, etc.",1,1,675271,"",21602002,0,3273135,""
3273181,3273135,"DRUG","ATC","D05","Antipsoriatics",1,1,11436,"",21602028,0,3273135,""
3273182,3273135,"DRUG","ATC","D06","Antibiotics and chemotherapeutics for dermatological use",1,1,233272,"",21602054,0,3273135,""
3273183,3273135,"DRUG","ATC","D07","Corticosteroids, dermatological preparations",1,1,940395,"",21602098,0,3273135,""
3273184,3273135,"DRUG","ATC","D08","Antiseptics and disinfectants",1,1,77012,"",21602195,0,3273135,""
3273185,3273135,"DRUG","ATC","D09","Medicated dressings",1,1,46741,"",21602261,0,3273135,""
3273186,3273135,"DRUG","ATC","D10","Anti-acne preparations",1,1,375934,"",21602281,0,3273135,""
3273187,3273135,"DRUG","ATC","D11","Other dermatological preparations",1,1,204310,"",21602323,0,3273135,""
3273188,3273136,"DRUG","ATC","G01","Gynecological antiinfectives and antiseptics",1,1,295811,"",21602360,0,3273136,""
3273189,3273136,"DRUG","ATC","G02","Other gynecologicals",1,1,348237,"",21602429,0,3273136,""
3273190,3273136,"DRUG","ATC","G03","Sex hormones and modulators of the genital system",1,1,341382,"",21602471,0,3273136,""
3273191,3273136,"DRUG","ATC","G04","Urologicals",1,1,289186,"",21602627,0,3273136,""
