"vocabulary_id","vocabulary_name","vocabulary_reference","vocabulary_version",vocabulary_concept_id
"ABMS","Provider Specialty (American Board of Medical Specialties)","http://www.abms.org/member-boards/specialty-subspecialty-certificates","",45756746
"ATC","WHO Anatomic Therapeutic Chemical Classification","FDB UK distribution package","RxNorm Full 20170807",44819117
"Cohort Type","OMOP Cohort Type","OMOP generated","",44819234
"Concept Class","OMOP Concept Class","OMOP generated","",44819233
"Condition Type","OMOP Condition Occurrence Type","OMOP generated","",44819127
"Cost Type","OMOP Cost Type","OMOP generated","",5029
"CPT4","Current Procedural Terminology version 4 (AMA)","http://www.nlm.nih.gov/research/umls/licensedcontent/umlsknowledgesources.html","2017AA",44819100
"CVX","CDC Vaccine Administered CVX (NCIRD)","https://www2a.cdc.gov/vaccines/iis/iisstandards/vaccines.asp?rpt=cvx","CVX code set 31-JUL-17",581400
"Death Type","OMOP Death Type","OMOP generated","",44819135
"Device Type","OMOP Device Type","OMOP generated","",44819151
"Domain","OMOP Domain","OMOP generated","",44819147
"DRG","Diagnosis-related group (CMS)","http://www.cms.gov/Medicare/Medicare-Fee-for-Service-Payment/AcuteInpatientPPS/Acute-Inpatient-Files-for-Download.html","2011-18-02",44819130
"Drug Type","OMOP Drug Exposure Type","OMOP generated","",44819126
"Ethnicity","OMOP Ethnicity","OMOP generated","",44819134
"Gender","OMOP Gender","OMOP generated","",44819108
"HCPCS","Healthcare Common Procedure Coding System (CMS)","http://www.nlm.nih.gov/research/umls/licensedcontent/umlsknowledgesources.html","2017 Alpha Numeric HCPCS File",44819101
"ICD10CM","International Classification of Diseases, Tenth Revision, Clinical Modification (NCHS)","http://www.cdc.gov/nchs/icd/icd10cm.htm","ICD10CM FY2018 code descriptions",44819098
"ICD10PCS","ICD-10 Procedure Coding System (CMS)","http://www.cms.gov/Medicare/Coding/ICD10/index.html","ICD10PCS 20160518",44819125
"ICD9CM","International Classification of Diseases, Ninth Revision, Clinical Modification, Volume 1 and 2 (NCHS)","http://www.cms.gov/Medicare/Coding/ICD9ProviderDiagnosticCodes/codes.html","ICD9CM v32 master descriptions",5046
"ICD9Proc","International Classification of Diseases, Ninth Revision, Clinical Modification, Volume 3 (NCHS)","http://www.cms.gov/Medicare/Coding/ICD9ProviderDiagnosticCodes/codes.html","ICD9CM v32 master descriptions",44819099
"ISBT","ISBT 128 Product Description Code Database","http://www.iccbba.org/tech-library/iccbba-documents/databases-and-reference-tables/product-description-codes-database2","7.9.0",581441
"ISBT Attribute","ISBT 128 Product Description Code Database","http://www.iccbba.org/tech-library/iccbba-documents/databases-and-reference-tables/product-description-codes-database2","7.9.0",581442
"LOINC","Logical Observation Identifiers Names and Codes (Regenstrief Institute)","http://loinc.org/downloads/loinc","LOINC 2.61",44819102
"Meas Type","OMOP Measurement Type","OMOP generated","",44819152
"Multum","Cerner Multum (Cerner)","http://www.nlm.nih.gov/research/umls/rxnorm/docs/rxnormfiles.html","2013-07-10",44819112
"NDC","National Drug Code (FDA and manufacturers)","http://www.nlm.nih.gov/research/umls/rxnorm/docs/rxnormfiles.html, http://www.fda.gov/downloads/Drugs/DevelopmentApprovalProcess/UCM070838.zip","NDC 20171214",44819105
