id,analysis_id,stratum_1,stratum_2,stratum_3,stratum_4,stratum_5,count_value,min_value,max_value,avg_value,stdev_value,median_value,p10_value,p25_value,p75_value,p90_value
0,1815,3000089,0,8507,,,2,0,256,128,181.02,0,0,0,0,0
0,1815,3000089,0,8532,,,1,0,0,0,,0,0,0,0,0
0,1815,3000194,0,8507,,,9,0,9,3.33,3,0,0,0,0,0
0,1815,3001199,0,8532,,,1,0,0,0,,0,0,0,0,0
0,1815,3001417,0,8532,,,118,0,34,0.98,3.88,0,0,0,0,0
0,1815,3001417,0,8507,,,118,0,365,7.85,42.63,0,0,0,0,0
0,1815,3002238,0,8532,,,146,0,10,0.71,1.47,0,0,0,0,0
0,1815,3002238,0,8507,,,166,0,77.5,1.29,6.29,0,0,0,0,0
0,1815,3002751,0,8507,,,143,0,37,0.35,3.18,0,0,0,0,0
0,1815,3002751,0,8532,,,136,0,0,0,0,0,0,0,0,0
0,1815,3004009,0,8507,,,79,0,64,0.95,7.24,0,0,0,0,0
0,1815,3004009,0,8532,,,1,0,0,0,,0,0,0,0,0
0,1815,3004057,0,8507,,,1,8,8,8,,0,0,0,0,0
0,1815,3004057,0,8532,,,2,0,0,0,0,0,0,0,0,0
0,1815,3005013,0,8532,,,3,0.6,1.9,1.47,0.75,0,0,0,0,0
0,1815,3006179,0,8532,,,11,0,5,0.55,1.51,0,0,0,0,0
0,1815,3006179,0,8507,,,16,0,4,0.69,1.2,0,0,0,0,0
0,1815,3007150,0,8532,,,231,0,8,0.13,0.74,0,0,0,0,0
0,1815,3007150,0,8507,,,210,0,7,0.17,0.8,0,0,0,0,0
0,1815,3007238,0,8532,,,1008375,0,214.47,0.04,0.86,0,0,0,0,0
0,1815,3007238,0,8507,,,1011235,0,184.2,0.05,0.96,0,0,0,0,0
0,1815,3007708,0,8532,,,1995,0,69,0.12,2.59,0,0,0,0,0
0,1815,3007708,0,8507,,,2318,0,89,0.07,2.12,0,0,0,0,0
0,1815,3007953,0,8507,,,23,0,783,58.78,175.3,0,0,0,0,0
0,1815,3007953,0,8532,,,32,0,34,2.97,7.12,0,0,0,0,1
0,1815,3008833,0,8532,,,2840,0,100,1.25,9.66,0,0,0,0,0
