concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
9178,Non-white,Race,Race,Race,,RAC100,19700101,20140731,D
8552,Unknown,Race,Race,Race,,UNK,19700101,20140731,D
8522,Other Race,Race,Race,Race,,9,19700101,20140731,D
38003603,Dominican,Race,Race,Race,S,3.06,19700101,20991231,
38003608,Trinidadian,Race,Race,Race,S,3.11,19700101,20991231,
38003593,Iwo Jiman,Race,Race,Race,S,2.20,19700101,20991231,
38003573,Alaska Native,Race,Race,Race,S,1.02,19700101,20991231,
8515,Asian,Race,Race,Race,S,2,19700101,20991231,
38003599,African American,Race,Race,Race,S,3.02,19700101,20991231,
38003606,Jamaican,Race,Race,Race,S,3.09,19700101,20991231,
8557,Native Hawaiian or Other Pacific Islander,Race,Race,Race,S,4,19700101,20991231,
8527,White,Race,Race,Race,S,5,19700101,20991231,
38003604,Dominica Islander,Race,Race,Race,S,3.07,19700101,20991231,
38003597,Madagascar,Race,Race,Race,S,2.24,19700101,20991231,
38003596,Singaporean,Race,Race,Race,S,2.23,19700101,20991231,
38003580,Taiwanese,Race,Race,Race,S,2.07,19700101,20991231,
38003584,Japanese,Race,Race,Race,S,2.11,19700101,20991231,
8516,Black or African American,Race,Race,Race,S,3,19700101,20991231,
38003583,Indonesian,Race,Race,Race,S,2.10,19700101,20991231,
38003586,Laotian,Race,Race,Race,S,2.13,19700101,20991231,
38003581,Filipino,Race,Race,Race,S,2.08,19700101,20991231,
38003577,Burmese,Race,Race,Race,S,2.04,19700101,20991231,
38003600,African,Race,Race,Race,S,3.03,19700101,20991231,
38003594,Maldivian,Race,Race,Race,S,2.21,19700101,20991231,
38003592,Vietnamese,Race,Race,Race,S,2.19,19700101,20991231,
38003590,Sri Lankan,Race,Race,Race,S,2.17,19700101,20991231,
38003587,Malaysian,Race,Race,Race,S,2.14,19700101,20991231,
38003611,Micronesian,Race,Race,Race,S,4.02,19700101,20991231,
38003579,Chinese,Race,Race,Race,S,2.06,19700101,20991231,
38003578,Cambodian,Race,Race,Race,S,2.05,19700101,20991231,
38003588,Okinawan,Race,Race,Race,S,2.15,19700101,20991231,
38003575,Bangladeshi,Race,Race,Race,S,2.02,19700101,20991231,
38003585,Korean,Race,Race,Race,S,2.12,19700101,20991231,
38003598,Black,Race,Race,Race,S,3.01,19700101,20991231,
38003605,Haitian,Race,Race,Race,S,3.08,19700101,20991231,
38003589,Pakistani,Race,Race,Race,S,2.16,19700101,20991231,
38003616,Arab,Race,Race,Race,S,5.03,19700101,20991231,
38003572,American Indian,Race,Race,Race,S,1.01,19700101,20991231,
8657,American Indian or Alaska Native,Race,Race,Race,S,1,19700101,20991231,
38003591,Thai,Race,Race,Race,S,2.18,19700101,20991231,
38003614,European,Race,Race,Race,S,5.01,19700101,20991231,
38003601,Bahamian,Race,Race,Race,S,3.04,19700101,20991231,
38003609,West Indian,Race,Race,Race,S,3.12,19700101,20991231,
38003582,Hmong,Race,Race,Race,S,2.09,19700101,20991231,
38003613,Other Pacific Islander,Race,Race,Race,S,4.04,19700101,20991231,
38003615,Middle Eastern or North African,Race,Race,Race,S,5.02,19700101,20991231,
38003610,Polynesian,Race,Race,Race,S,4.01,19700101,20991231,
38003612,Melanesian,Race,Race,Race,S,4.03,19700101,20991231,
38003574,Asian Indian,Race,Race,Race,S,2.01,19700101,20991231,
38003595,Nepalese,Race,Race,Race,S,2.22,19700101,20991231,
38003607,Tobagoan,Race,Race,Race,S,3.10,19700101,20991231,
38003602,Barbadian,Race,Race,Race,S,3.05,19700101,20991231,
38003576,Bhutanese,Race,Race,Race,S,2.03,19700101,20991231,
8551,UNKNOWN,Gender,Gender,Gender,,U,19700101,20140731,D
8570,AMBIGUOUS,Gender,Gender,Gender,,A,19700101,20140731,D
8521,OTHER,Gender,Gender,Gender,,O,19700101,20140731,D
8532,FEMALE,Gender,Gender,Gender,S,F,19700101,20991231,
8507,MALE,Gender,Gender,Gender,S,M,19700101,20991231,
38003564,Not Hispanic or Latino,Ethnicity,Ethnicity,Ethnicity,S,Not Hispanic,19700101,20991231,
38003563,Hispanic or Latino,Ethnicity,Ethnicity,Ethnicity,S,Hispanic,19700101,20991231,
